asin,brand,title,url,image,rating,reviewUrl,totalReviews,price,originalPrice
B07XZJG7V9,Samsung,Samsung Galaxy S10 Plus G975U 128GB T-Mobile GSM Unlocked - Prism Black (Renewed),https://www.amazon.com/Samsung-Galaxy-G975U-T-Mobile-Unlocked/dp/B07XZJG7V9,https://m.media-amazon.com/images/I/61mWq3bufpL._AC_UY218_ML3_.jpg,5,https://www.amazon.com/product-reviews/B07XZJG7V9,1,599.95,0
B07YSSGS7C,Samsung,"Samsung Galaxy S10e G970U Sprint + GSM Unlocked 256GB (U.S. Warranty), Flamingo Pink (Renewed)",https://www.amazon.com/Samsung-Unlocked-Warranty-Flamingo-Renewed/dp/B07YSSGS7C,https://m.media-amazon.com/images/I/31LMbW2JExL._AC_UY218_ML3_.jpg,1,https://www.amazon.com/product-reviews/B07YSSGS7C,1,490.95,0
B07YVGVQKL,Samsung,"Samsung Galaxy A50 SM-A505G 128GB, Dual Sim, 6.4"" Infinity-U Display, Triple Camera, 4GB RAM, GSM Unlocked International Model, No Warranty (White)",https://www.amazon.com/Samsung-SM-A505G-Infinity-U-Unlocked-International/dp/B07YVGVQKL,https://m.media-amazon.com/images/I/51d6hsShnAL._AC_UY218_ML3_.jpg,3.3,https://www.amazon.com/product-reviews/B07YVGVQKL,7,285.99,0
B07YVH6QRT,Samsung,"Samsung Original Galaxy Watch Active2 w/; auto Workout Tracking, and pace Coaching Enhanced Sleep Tracking Analysis Stainless Steel CASE and Leather Band (International Model) (Black, 44mm) No LTE",https://www.amazon.com/Samsung-Original-Tracking-Stainless-International/dp/B07YVH6QRT,https://m.media-amazon.com/images/I/51KKyslDZDL._AC_UY218_ML3_.jpg,3.9,https://www.amazon.com/product-reviews/B07YVH6QRT,8,379.99,0
B07YZS6QT3,Samsung,"Samsung Galaxy A30S w/On-Screen Fingerprint (64GB, 4GB) 6.4"", Triple Camera, Dual SIM GSM Unlocked A307G/DS - US + Global 4G LTE International Model (64GB + 64GB SD + Case Bundle) (Black)",https://www.amazon.com/Samsung-A30S-Screen-Fingerprint-Unlocked/dp/B07YZS6QT3,https://m.media-amazon.com/images/I/61MARJkahkL._AC_UY218_ML3_.jpg,4.5,https://www.amazon.com/product-reviews/B07YZS6QT3,26,221,0
B07Z3XZDT5,Samsung,"Samsung Galaxy Note 10 Factory Unlocked Cell Phone with 256GB (U.S. Warranty), Aura Black/ Note10 (Renewed)",https://www.amazon.com/Samsung-Factory-Unlocked-Warranty-Renewed/dp/B07Z3XZDT5,https://m.media-amazon.com/images/I/61jLpFaAiqL._AC_UY218_ML3_.jpg,3.5,https://www.amazon.com/product-reviews/B07Z3XZDT5,18,594,629
B07Z41LHPB,Samsung,"Samsung Galaxy Note 10+ Plus 256GB GSM Unlocked Smartphone, Aura Glow / Silver (Renewed)",https://www.amazon.com/Samsung-Galaxy-Unlocked-Smartphone-Renewed/dp/B07Z41LHPB,https://m.media-amazon.com/images/I/618bEcxx-aL._AC_UY218_ML3_.jpg,2.8,https://www.amazon.com/product-reviews/B07Z41LHPB,11,659,0
B07ZDJCL76,Samsung,"Samsung Galaxy A20s A207/DS, 32GB/3GB RAM Dual SIM 6.5''HD+ Snapdragon 450, Factory Unlocked (International Version) - (Black)",https://www.amazon.com/Samsung-Snapdragon-Factory-Unlocked-International/dp/B07ZDJCL76,https://m.media-amazon.com/images/I/51y15-dg6fL._AC_UY218_ML3_.jpg,4.4,https://www.amazon.com/product-reviews/B07ZDJCL76,52,174.94,0
B07ZPKBL9V,Apple,"Apple iPhone 11, 64GB, Unlocked - Red (Renewed)",https://www.amazon.com/Apple-iPhone-11-64GB-Unlocked/dp/B07ZPKBL9V,https://m.media-amazon.com/images/I/41B2g2wqYSL._AC_UY218_ML3_.jpg,5,https://www.amazon.com/product-reviews/B07ZPKBL9V,1,659.99,0
B07ZPKZSSC,Apple,"Apple iPhone 11 Pro, 64GB, Fully Unlocked - Space Gray (Renewed)",https://www.amazon.com/Apple-iPhone-64GB-Fully-Unlocked/dp/B07ZPKZSSC,https://m.media-amazon.com/images/I/41wDuEW9iZL._AC_UY218_ML3_.jpg,1,https://www.amazon.com/product-reviews/B07ZPKZSSC,1,949,0
B081TJFVCJ,Apple,"Apple iPhone X, 64GB, Gray - Fully Unlocked (Renewed)",https://www.amazon.com/Apple-iPhone-64GB-Gray-Unlocked/dp/B081TJFVCJ,https://m.media-amazon.com/images/I/71yMgOenT5L._AC_UY218_ML3_.jpg,5,https://www.amazon.com/product-reviews/B081TJFVCJ,1,478.97,0
B0825BB7SG,Samsung,"Straight Talk Samsung Galaxy A10e Smartphone 5.8"" 32GB Memory 8MP Camera",https://www.amazon.com/Straight-Samsung-Galaxy-Smartphone-Memory/dp/B0825BB7SG,https://m.media-amazon.com/images/I/81+3SWSAhDL._AC_UY218_ML3_.jpg,5,https://www.amazon.com/product-reviews/B0825BB7SG,1,139,139.26
